episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,2,44000,False,0,11,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-07-27,1608138447,7.119757175445557,79.64062476158142,14512,Rishabhs-MBP,192.168.1.138,79.64062476158142,0,11,[],[],3432.709,1165.26,2.092,1911693.805,3665.027,1091.397,6.03,44000,44000,63.989999999999995,76.15,0.30000001192092896,4.999999873689376e-05,12.50293,-0.0224364,12.519814,0.109201655,0.018498681,1.8272142,0.0
nan,nan,nan,nan,0,2,48000,False,0,12,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-07-33,1608138453,6.738645076751709,86.37926983833313,14512,Rishabhs-MBP,192.168.1.138,86.37926983833313,0,12,[],[],3407.328,1173.94,2.073,1929968.48,3669.198,1090.156,5.99,48000,48000,73.09,76.22,0.30000001192092896,4.999999873689376e-05,4.206556,-0.014558426,4.217478,0.0257717,0.012122413,1.7957784,0.0
nan,nan,nan,nan,0,2,52000,False,0,13,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-07-40,1608138460,6.545699834823608,92.92496967315674,14512,Rishabhs-MBP,192.168.1.138,92.92496967315674,0,13,[],[],3430.975,1165.849,2.004,1996336.982,3628.892,1102.265,3.856,52000,52000,65.42222222222223,76.5888888888889,0.30000001192092896,4.999999873689376e-05,10.427199,-0.018558303,10.440881,0.09616324,0.016249552,1.7657605,0.0
nan,nan,nan,nan,0,2,56000,False,0,14,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-07-47,1608138467,7.059339761734009,99.98430943489075,14512,Rishabhs-MBP,192.168.1.138,99.98430943489075,0,14,[],[],3374.883,1185.226,1.985,2014845.559,3636.418,1099.984,3.804,56000,56000,73.71000000000001,76.34,0.30000001192092896,4.999999873689376e-05,2.5897071,-0.020472893,2.6054673,0.03282781,0.015708536,1.7083147,0.0
nan,nan,nan,nan,0,2,60000,False,0,15,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-07-54,1608138474,6.555052042007446,106.5393614768982,14512,Rishabhs-MBP,192.168.1.138,106.5393614768982,0,15,[],[],3354.533,1192.416,1.948,2053414.276,3531.1,1132.792,3.828,60000,60000,74.46666666666665,76.56666666666666,0.30000001192092896,4.999999873689376e-05,3.2640302,-0.01649469,3.2765534,0.020326039,0.01323793,1.6520791,0.0
nan,nan,nan,nan,0,2,64000,False,0,16,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-00,1608138480,6.7672412395477295,113.30660271644592,14512,Rishabhs-MBP,192.168.1.138,113.30660271644592,0,16,[],[],3364.337,1188.942,1.823,2194706.713,3496.288,1144.071,3.834,64000,64000,73.22999999999999,75.73,0.30000001192092896,4.999999873689376e-05,2.726315,-0.012565859,2.7362912,0.02386566,0.008630546,1.6369911,0.0
nan,nan,nan,nan,0,2,68000,False,0,17,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-07,1608138487,6.857540845870972,120.1641435623169,14512,Rishabhs-MBP,192.168.1.138,120.1641435623169,0,17,[],[],3314.923,1206.665,1.812,2208080.441,3478.12,1150.046,3.831,68000,68000,72.6,75.8,0.30000001192092896,4.999999873689376e-05,1.31459,-0.010519191,1.3220407,0.0019154011,0.010229157,1.6370757,0.0
nan,nan,nan,nan,0,2,72000,False,0,18,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-14,1608138494,6.631403923034668,126.79554748535156,14512,Rishabhs-MBP,192.168.1.138,126.79554748535156,0,18,[],[],3338.846,1198.019,1.72,2326098.217,3446.208,1160.696,3.398,72000,72000,72.51111111111112,75.98888888888888,0.30000001192092896,4.999999873689376e-05,1.9390346,-0.012487125,1.947757,0.024514576,0.012549294,1.5926776,0.0
nan,nan,nan,nan,0,2,76000,False,0,19,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-21,1608138501,6.594472885131836,133.3900203704834,14512,Rishabhs-MBP,192.168.1.138,133.3900203704834,0,19,[],[],3381.37,1182.953,1.734,2306241.632,3392.775,1178.976,3.289,76000,76000,73.02,76.85,0.30000001192092896,4.999999873689376e-05,1.1770301,-0.010263734,1.1848117,0.009357133,0.008273423,1.5533272,0.0
nan,nan,nan,nan,0,2,80000,False,0,20,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-27,1608138507,6.705307722091675,140.09532809257507,14512,Rishabhs-MBP,192.168.1.138,140.09532809257507,0,20,[],[],3368.677,1187.41,1.719,2327292.097,3375.935,1184.857,3.227,80000,80000,72.85555555555555,77.33333333333334,0.30000001192092896,4.999999873689376e-05,0.9254307,-0.007206171,0.93047553,0.012521361,0.0072035757,1.5269159,0.0
nan,nan,nan,nan,0,2,84000,False,0,21,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-33,1608138513,5.916653156280518,146.0119812488556,14512,Rishabhs-MBP,192.168.1.138,146.0119812488556,0,21,[],[],3301.507,1211.568,1.717,2330007.083,3323.456,1203.566,2.699,84000,84000,70.32222222222222,77.12222222222222,0.30000001192092896,4.999999873689376e-05,0.60183865,-0.010962778,0.61004233,0.011487355,0.009196895,1.5017521,0.0
nan,nan,nan,nan,0,2,88000,False,0,22,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-40,1608138520,6.484093904495239,152.49607515335083,14512,Rishabhs-MBP,192.168.1.138,152.49607515335083,0,22,[],[],3293.912,1214.361,1.811,2208545.514,3304.696,1210.399,2.811,88000,88000,72.78888888888889,76.74444444444444,0.30000001192092896,4.999999873689376e-05,0.83583856,-0.010232234,0.843298,0.023323514,0.009242859,1.4592074,0.0
nan,nan,nan,nan,0,2,92000,False,0,23,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-48,1608138528,8.53154993057251,161.02762508392334,14512,Rishabhs-MBP,192.168.1.138,161.02762508392334,0,23,[],[],3401.056,1176.105,1.831,2185130.83,3395.769,1177.936,2.977,92000,92000,70.46666666666665,78.07500000000002,0.30000001192092896,4.999999873689376e-05,0.53246576,-0.003140044,0.5338939,0.010987213,0.0057062344,1.5207016,0.0
